,track_id,artist_id,artist_name,artist_popularity,artist_followers,artist_genres,instrumentalness,duration_ms,time_signature,acousticness,speechiness,energy,loudness,tempo,key,valence,danceability,liveness
2213,2wzDcFvmTN5cf2xNP1R0vM,0qFRHDlLguiugbuuCInOCb,Cory Ard,22,339,,0.0,192706,4,0.0158,0.218,0.628,-4.225,98.669,6,0.184,0.579,0.193
2214,5MYqrOCDdUNoeTwVIuF3hw,5yqWHaDl8ZrYgeKANLyIv8,Steven Malcolm,48,16614,"christian hip hop,christian trap",0.0,224249,4,0.245,0.171,0.668,-6.466,113.124,1,0.39,0.718,0.0854
2215,4HmEIGOydlBjqVtekaB6s5,6qL5lCa1VbCzWiVgnj6QIV,Anthony Evans,47,46763,gospel,0.0,213731,4,0.0169,0.0363,0.68,-2.827,105.008,8,0.494,0.692,0.104
2216,7eQstR5Hqp4Sw3WhsX4OVY,6oQtySLHL6XuCJyF2Uvhvr,africanchild,22,264,,7.46e-05,202492,4,0.414,0.0729,0.404,-8.337,120.153,11,0.158,0.752,0.0803
2217,1voGlyVgCLDhjkc7vZSqs3,2q5QIs6iibW6xyHZZRSeh2,Hyper Fenton,40,2577,"christian hip hop,christian trap",0.00125,160601,4,0.0211,0.125,0.595,-11.548,145.029,0,0.515,0.871,0.116
2218,3F1B1ZpYAqJbu4R3kRBeOk,40OVYA2JSSAcJhsbZfhe7m,Efrain,25,210,christian trap,0.0,180846,4,0.302,0.0533,0.487,-8.196,140.021,6,0.43,0.791,0.164
2219,3TgP4f7UX2SJhnVuewNzSb,2d8NsBa8O4C6bgQatFP5V4,nobigdyl.,52,19397,"christian hip hop,christian trap",0.0,183693,4,0.0852,0.0924,0.704,-6.083,148.031,8,0.885,0.755,0.288
2220,5f2BB91tVCudtQoaP7fj1n,1giKzLZOCQRCIGmy4X8Qou,Bee Ardoin,12,26,,0.0,199471,4,0.13,0.0632,0.451,-8.628,117.974,1,0.344,0.771,0.222
2221,51YPCM26i1GJE1VB4qu9NA,22tMPEnDoxqZCe1K0e8Bgf,Mike Burton,18,93,,0.317,181412,4,0.506,0.0695,0.541,-7.152,169.484,0,0.369,0.474,0.0955
2222,3qesvfbYILoIlPRgLqxPU3,0C80FPH7oHlFKXZMuDcfAJ,Christa Deánā,11,38,,1.27e-06,220004,4,0.0756,0.127,0.555,-9.492,100.979,1,0.288,0.682,0.111
2223,1PGJi8Bj0dOLtE6WcKr6U8,3VEsM3fZhwEsf4cpmcYh8H,Terrell Hunt,20,63,,6.87e-05,251857,4,0.589,0.0288,0.401,-10.879,133.97,11,0.0865,0.445,0.0957
2224,0CJvP5dsAG8LVEORemZb4A,34AvaqEPfpouhvRvlhRFLY,Jennifer Jimenez,16,75,deep freestyle,0.0,302583,3,0.459,0.029,0.671,-4.263,120.09,2,0.282,0.475,0.0825
2225,4uN4H0FwXce5r9B1Zfhrik,7fzK9yot358tSXAHVDms5I,Dennis Lamar,16,20,,0.0,296986,4,0.687,0.0379,0.409,-6.735,142.06,6,0.258,0.415,0.109
2226,6wLsvsE0ToISKRwvMfgYFK,2ajFMVfmJWnLoqClwn8FYN,Morris Mingo,9,20,,0.149,253333,4,0.00559,0.256,0.741,-7.952,67.181,1,0.205,0.268,0.201
2227,3yn1ACGNZo4ALOIeQFOzJD,3RHwCqK7oe6mucuIgz62BF,Nicole C. Mullen,41,41086,"ccm,christian alternative rock,christian music,worship",0.0936,170024,4,0.00756,0.124,0.776,-7.112,104.04,0,0.542,0.708,0.211
2228,7qlZBgUGV8ih0bx3psCShO,4JOaUg5eszRnA67r8Lcx1i,Johnny Minick And The Stewart Brothers,7,5,,1.2e-05,123933,4,0.308,0.0608,0.632,-6.375,209.781,7,0.702,0.355,0.1
2229,5J5EI7X54BLwBN3N6S9XYx,6a8FEoEt1aL2A32jDJJeZE,Rafa Selase,9,8032,,0.00512,271209,4,0.967,0.0456,0.0101,-27.73,75.195,5,0.0737,0.314,0.0818
2230,1WO0oSdSr1WNVNTs9GxPht,6emasWsKv4NpQ9KWjsvMUh,Angel Sessions,16,4841,,0.0,259203,4,0.0649,0.0651,0.71,-5.731,112.006,9,0.469,0.646,0.0738
2231,4NQ3UcTFLu8ZGvCliZ3bpD,5If45SS40G6XBdKUsT5MMj,Frank Thompson Jr,8,5,,2.36e-06,211488,1,0.288,0.0333,0.283,-12.0,125.915,6,0.179,0.674,0.0661
2232,6ri2lEsVkGS5Bj5AAqj6kX,5GM4RoX7Dl9NxVKm6waH3P,C WEST,20,1406,,0.0,199693,4,0.766,0.0288,0.222,-9.381,141.603,10,0.453,0.48,0.15
2233,0jkfz0ZVV1w8zqYkp3F2Ws,3VKfSsDxW2LXAW08D1r1KS,Fred Jerkins,26,111,,0.0,200640,5,0.105,0.175,0.822,-5.622,119.566,4,0.573,0.52,0.144
2234,5E4Pl86yRld9utke32EgKu,5IVXa5D4ctnpdKOHrWHDMh,Double Atl,24,801,,0.0,244062,4,0.021,0.363,0.644,-8.876,84.645,1,0.472,0.605,0.121
