,label,track_id,artist_id,artist_name,artist_popularity,artist_followers,artist_genres,instrumentalness,duration_ms,time_signature,acousticness,speechiness,energy,loudness,tempo,key,valence,danceability,liveness,track_name
1815,0,7DxNI1oOeVvHME45LF93fD,4PkIQHjtrqEAOaHysiQW0b,Caitie Hurst,0.34,6.151736338294647e-05,"ccm,christian pop",0.0,0.05239463590862151,0.75,0.64,0.0351,0.478,0.8516103424812882,0.2693472667957457,1.0,0.316,0.377,0.117,Answers
1816,0,1FfAMgYasFyJKLjqMan0Lg,6xzvt1VigDuN3Qt39YozYA,William Matthews,0.48,0.0004360495463320617,"anthem worship,ccm,deep ccm,world worship,worship",0.0,0.05421545484825766,0.75,0.485,0.0995,0.53,0.8147728131851515,0.2452006471633557,1.0,0.104,0.407,0.124,Only 1
1817,0,1Mf1iYeX41YCRoPBiNfvuJ,2gKOyAK7jvza3CP58EcLKD,Neon Feather,0.41000000000000003,6.442182094204843e-05,christian pop,0.0,0.06204207991105893,0.75,0.0447,0.114,0.909,0.9188402510017388,0.6022862902156327,0.0,0.462,0.541,0.147,City Lights
1818,0,3gBFAvpAVSNohs3ESRMYHi,4cgBCGxtlfap2g6jveB7du,Afgan,0.59,0.009288312431833036,"indonesian pop,malaysian pop",0.0,0.05645346356635434,0.75,0.741,0.0475,0.285,0.7985181825054811,0.29857571015569057,0.2727272727272727,0.434,0.54,0.152,Heaven
1819,0,1ebiyWVPXiSplzGHwgLjod,4hj6ZZxaiKvG5GU3PYf7Gh,Hawk Nelson,0.53,0.0030082085922377515,"anthem worship,canadian ccm,ccm,christian alternative rock,christian music,christian punk,christian rock,worship",0.0,0.051856299565654754,0.75,0.012,0.268,0.937,0.9209004309367202,0.36342466116754635,1.0,0.378,0.569,0.277,No Such Thing
1820,0,1d7GW6JUM5VNJ7rUhXvkmW,59aO1bvIWcWh65IAynu6KD,Jacob Dye,0.22,4.9566234738117087e-05,,0.0,0.06351895400663717,0.75,0.4,0.0471,0.311,0.7443864821955091,0.21843354640214308,1.0,0.233,0.276,0.0813,Welcome to the Madness
1821,0,2mq2gb2wqmF5w9KzXCdffq,0QMNhrj5d6CkY4JJVL0eqU,Lydia Evangeline,0.26,2.1450133284843177e-05,brighton indie,1.87e-06,0.04560987130057382,0.75,0.00591,0.0622,0.702,0.9030581386557798,0.5756783279845105,0.9090909090909092,0.876,0.646,0.0662,T.R.U.S.T.
1822,0,07FkzikE6FuHIa8Ma7zJGc,6fOMl44jA4Sp5b9PpYCkzz,NF,0.8200000000000001,0.040584723491236076,"hip hop,rap",0.0,0.05386510455366264,0.75,0.161,0.133,0.66,0.8648786572919028,0.33684322202477257,0.4545454545454546,0.182,0.753,0.236,Lie
1823,0,68OtOO76esj0YiLb31wLmw,4PkIQHjtrqEAOaHysiQW0b,Caitie Hurst,0.34,6.151736338294647e-05,"ccm,christian pop",0.0288,0.056291656315829934,0.75,0.00701,0.109,0.728,0.8768617222348226,0.7456382781211045,0.9090909090909092,0.734,0.654,0.73,How Could I Be Silent
1824,0,7lrROEADltKrZj6Uxgr9ti,0wnsM0ziqToBwQeEbH0akL,Social Club Misfits,0.5700000000000001,0.0021903419120296464,"ccm,christian hip hop,christian trap,miami hip hop,rap cristiano",0.0,0.048993341673415604,0.75,0.101,0.183,0.902,0.9024911166553261,0.4275734026470043,0.6363636363636364,0.567,0.41,0.0682,War Cry
1825,0,7xk1L3mPz7qCO50PFsH5eN,2E5E5eAP6yDhZ7EHc0Evr7,Jamie Grace,0.5,0.004165515894394019,"ccm,christian alternative rock,christian music,worship",0.0,0.056204764986804774,0.75,0.0962,0.126,0.738,0.9141150676646252,0.27580298649974805,0.8181818181818182,0.681,0.744,0.0964,Wait it Out
1826,0,4tXDGIPLRuXn4Q2UBi9TU7,4Cp7yuORQTCa9GUfvb2gss,Tree Giants,0.36,5.044709481751686e-05,christian pop,0.00172,0.0524620323881859,0.75,0.0191,0.0289,0.701,0.8828910561729795,0.379200594117179,0.9090909090909092,0.454,0.545,0.094,Human
1827,0,5ITbPtnwn1UjO9unLR7jdi,1asNB5JfcQPYq5yaNdDArX,Emma Mullings,0.13,1.3165287132650696e-05,,0.00989,0.045060952039328354,0.75,0.00156,0.0343,0.713,0.8597376578211233,0.788059305625547,0.5454545454545454,0.464,0.527,0.226,Here and Now
